
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
216 	05/02/2019	78.8 	128     	1285  	4.11	3.04   	2.24   	0.590	
217 	06/02/2019	88.8 	81      	1267  	3.77	2.82   	2.21   	0.750	
218 	07/02/2019	88.6 	92      	1340  	3.82	2.95   	2.24   	0.370	
219 	08/02/2019	82.6 	87      	1307  	3.99	3.02   	2.26   	0.630	
220 	09/02/2019	83.7 	102     	1318  	4.20	3.35   	1.84   	0.310	
221 	10/02/2019	76.8 	82      	1329  	3.88	2.78   	2.30   	0.380	
222 	11/02/2019	69.3 	191     	1308  	4.25	3.34   	1.69   	0.870	
223 	12/02/2019	66.8 	77      	1318  	4.53	2.69   	2.79   	0.360	
224 	13/02/2019	74.8 	79      	1331  	4.04	3.00   	2.19   	1.240	
225 	14/02/2019	75.0 	73      	--    	4.34	2.88   	2.43   	0.460	
226 	15/02/2019	82.1 	83      	1324  	4.44	2.98   	2.28   	1.080	
227 	16/02/2019	82.5 	89      	1332  	4.28	2.58   	1.97   	0.560	
228 	17/02/2019	74.1 	82      	1319  	4.39	2.61   	2.66   	0.420	
229 	18/02/2019	74.0 	118     	1376  	4.35	2.48   	2.61   	0.620	
230 	19/02/2019	75.8 	104     	1363  	4.39	2.44   	2.01   	0.550	
231 	20/02/2019	65.8 	134     	1302  	4.44	2.61   	2.16   	0.450	
232 	21/02/2019	76.3 	113     	1362  	4.61	2.79   	2.16   	0.430	
233 	22/02/2019	110.5	104     	1298  	4.41	2.65   	2.26   	0.280	
234 	23/02/2019	73.4 	90      	1307  	4.33	3.28   	2.03   	0.720	
235 	24/02/2019	73.2 	89      	1329  	4.23	2.79   	2.43   	0.690	
236 	25/02/2019	71.9 	103     	1376  	4.31	2.60   	2.33   	0.410	
237 	26/02/2019	72.2 	123     	1330  	4.44	3.03   	2.26   	0.640	
238 	27/02/2019	68.3 	110     	--    	4.52	2.81   	1.95   	0.410	
239 	28/02/2019	68.4 	84      	1327  	4.53	2.79   	2.29   	0.750	
240 	01/03/2019	68.5 	94      	1353  	4.58	2.76   	2.17   	0.760	
241 	02/03/2019	72.7 	72      	1344  	4.50	2.97   	2.16   	0.610	
242 	03/03/2019	72.2 	90      	1339  	4.27	3.49   	1.62   	0.310	
243 	04/03/2019	72.7 	79      	1362  	4.45	2.54   	2.55   	0.450	
244 	05/03/2019	74.6 	88      	1313  	4.35	2.65   	2.07   	0.410	
245 	06/03/2019	72.5 	77      	1348  	4.18	2.71   	2.17   	1.030	
246 	07/03/2019	73.0 	91      	1345  	4.49	2.75   	1.85   	0.480	
247 	08/03/2019	73.8 	78      	1350  	4.39	3.22   	1.75   	0.330	
248 	09/03/2019	71.8 	86      	1352  	4.59	2.91   	1.90   	0.320	
249 	10/03/2019	68.1 	91      	1356  	4.25	3.41   	1.78   	0.350	
250 	11/03/2019	73.3 	83      	1385  	4.24	2.53   	2.47   	0.390	
251 	12/03/2019	72.8 	95      	1338  	3.98	3.18   	2.00   	0.590	
252 	13/03/2019	74.7 	77      	1335  	4.38	2.83   	2.07   	0.400	
253 	14/03/2019	67.3 	109     	1331  	3.99	2.93   	1.95   	0.750	
254 	15/03/2019	78.8 	94      	1375  	4.17	2.69   	1.88   	0.370	
255 	16/03/2019	71.9 	103     	1371  	4.38	2.92   	1.96   	0.420	
256 	17/03/2019	71.2 	97      	1324  	4.21	3.08   	1.32   	0.560	
257 	18/03/2019	70.9 	71      	1344  	4.66	2.72   	2.29   	0.300	
