
Days	Date      	Milk	Activity	Weight	Fat 	Protein	Lactose	Blood	
195 	05/02/2019	48.3	155     	--    	5.13	3.28   	2.08   	0.360	
196 	06/02/2019	50.0	87      	1535  	4.66	2.94   	2.11   	0.430	
197 	07/02/2019	50.9	96      	1504  	4.61	3.76   	1.60   	0.360	
198 	08/02/2019	50.2	120     	1549  	4.75	3.23   	1.93   	0.400	
199 	09/02/2019	50.4	130     	1460  	4.64	2.84   	2.05   	0.370	
200 	10/02/2019	50.4	116     	1489  	4.84	2.97   	2.04   	0.430	
201 	11/02/2019	44.0	198     	1483  	5.16	3.04   	1.83   	0.440	
202 	12/02/2019	45.4	139     	1500  	4.74	3.22   	1.96   	0.410	
203 	13/02/2019	47.5	119     	1478  	5.12	3.07   	1.95   	0.410	
204 	14/02/2019	49.5	120     	1450  	4.63	3.12   	1.93   	0.320	
205 	15/02/2019	54.5	114     	1553  	4.59	2.94   	2.14   	0.390	
206 	16/02/2019	52.5	123     	1482  	4.75	2.93   	2.46   	0.390	
207 	17/02/2019	47.4	105     	1461  	4.81	3.00   	1.69   	0.370	
208 	18/02/2019	45.0	123     	1551  	4.75	2.75   	1.88   	0.400	
209 	19/02/2019	48.7	91      	1509  	5.16	3.22   	2.26   	0.400	
210 	20/02/2019	49.3	106     	1458  	5.25	3.00   	2.04   	0.350	
211 	21/02/2019	54.0	103     	1465  	5.00	3.08   	2.25   	0.370	
212 	22/02/2019	80.6	100     	1430  	4.90	2.99   	2.13   	0.390	
213 	23/02/2019	53.0	96      	1461  	4.38	2.85   	2.26   	0.410	
214 	24/02/2019	51.6	99      	1516  	5.30	3.23   	2.26   	0.430	
215 	25/02/2019	55.0	87      	1562  	4.82	3.32   	1.96   	0.540	
216 	26/02/2019	54.4	105     	1515  	4.53	3.16   	2.28   	0.410	
217 	27/02/2019	54.6	104     	1493  	4.51	3.03   	1.74   	0.420	
218 	28/02/2019	53.0	92      	1478  	4.40	2.88   	1.89   	0.390	
219 	01/03/2019	46.9	97      	1470  	4.53	2.67   	2.12   	0.370	
220 	02/03/2019	46.3	134     	1458  	4.57	2.65   	2.22   	0.370	
221 	03/03/2019	42.8	124     	1514  	5.03	2.81   	1.55   	0.380	
222 	04/03/2019	43.2	101     	1507  	5.40	3.17   	2.03   	0.450	
223 	05/03/2019	45.8	127     	1401  	5.12	3.01   	2.41   	0.380	
224 	06/03/2019	45.6	119     	1440  	5.00	2.71   	2.23   	0.440	
225 	07/03/2019	44.0	123     	1453  	5.14	2.95   	1.52   	0.290	
226 	08/03/2019	41.3	125     	1434  	4.96	2.66   	1.91   	0.390	
227 	09/03/2019	37.4	112     	1458  	4.83	2.71   	2.18   	0.380	
228 	10/03/2019	41.3	117     	1472  	5.60	3.37   	2.04   	0.350	
229 	11/03/2019	42.1	107     	1474  	5.89	3.64   	2.17   	0.370	
230 	12/03/2019	42.5	108     	1543  	5.15	3.15   	2.20   	0.380	
231 	13/03/2019	43.4	105     	1507  	5.05	3.02   	1.25   	0.340	
232 	14/03/2019	45.9	97      	1499  	5.02	3.12   	1.83   	0.360	
233 	15/03/2019	47.1	93      	1518  	4.84	3.04   	1.89   	0.370	
234 	16/03/2019	48.0	101     	1442  	4.67	3.37   	1.59   	0.380	
235 	17/03/2019	49.6	89      	1487  	4.26	3.69   	1.91   	0.400	
236 	18/03/2019	47.4	107     	1460  	4.59	3.00   	1.31   	0.390	
